event_id,timestamp,event_type,user,source_ip,source_asset,destination_asset,description
EVT-000084,2026-09-03T13:53:49.616319,TELEMETRY_ACCESS,strategist01,192.168.10.93,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000085,2026-09-03T13:54:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.52,RACE-STRATEGY-01,RACE-STRATEGY-01,engineer01 performed LOGIN_SUCCESS on RACE-STRATEGY-01
EVT-000086,2026-09-03T13:55:49.616319,TELEMETRY_ACCESS,engineer01,192.168.10.52,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer01 performed TELEMETRY_ACCESS on TELEMETRY-SERVER-01
EVT-000087,2026-09-03T13:56:49.616319,GIT_ACCESS,strategist01,192.168.10.163,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed GIT_ACCESS on TELEMETRY-SERVER-01
EVT-000088,2026-09-03T13:57:49.616319,GIT_ACCESS,engineer02,192.168.10.28,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,engineer02 performed GIT_ACCESS on TELEMETRY-SERVER-01
EVT-000089,2026-09-03T13:58:49.616319,GIT_ACCESS,analyst01,192.168.10.215,RACE-STRATEGY-01,RACE-STRATEGY-01,analyst01 performed GIT_ACCESS on RACE-STRATEGY-01
EVT-000090,2026-09-03T13:59:49.616319,LOGIN_SUCCESS,analyst01,192.168.10.128,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,analyst01 performed LOGIN_SUCCESS on TELEMETRY-SERVER-01
EVT-000091,2026-09-03T14:00:49.616319,NETWORK_CONNECTION,strategist01,192.168.10.20,CLOUD-STORAGE-01,CLOUD-STORAGE-01,strategist01 performed NETWORK_CONNECTION on CLOUD-STORAGE-01
EVT-000092,2026-09-03T14:01:49.616319,GIT_ACCESS,strategist01,192.168.10.131,GIT-SERVER-01,GIT-SERVER-01,strategist01 performed GIT_ACCESS on GIT-SERVER-01
EVT-000093,2026-09-03T14:02:49.616319,VPN_CONNECTION,strategist01,192.168.10.130,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed VPN_CONNECTION on TELEMETRY-SERVER-01
EVT-000094,2026-09-03T14:03:49.616319,TELEMETRY_ACCESS,engineer02,192.168.10.156,GIT-SERVER-01,GIT-SERVER-01,engineer02 performed TELEMETRY_ACCESS on GIT-SERVER-01
EVT-000095,2026-09-03T14:04:49.616319,NETWORK_CONNECTION,engineer01,192.168.10.126,GIT-SERVER-01,GIT-SERVER-01,engineer01 performed NETWORK_CONNECTION on GIT-SERVER-01
EVT-000096,2026-09-03T14:05:49.616319,LOGIN_SUCCESS,engineer01,192.168.10.79,ENGINEER-LAPTOP-01,ENGINEER-LAPTOP-01,engineer01 performed LOGIN_SUCCESS on ENGINEER-LAPTOP-01
EVT-000097,2026-09-03T14:06:49.616319,LOGIN_SUCCESS,strategist01,192.168.10.78,TELEMETRY-SERVER-01,TELEMETRY-SERVER-01,strategist01 performed LOGIN_SUCCESS on TELEMETRY-SERVER-01
EVT-000098,2026-09-03T14:07:49.616319,GIT_ACCESS,analyst01,192.168.10.29,RACE-STRATEGY-01,RACE-STRATEGY-01,analyst01 performed GIT_ACCESS on RACE-STRATEGY-01
EVT-000099,2026-09-03T14:08:49.616319,VPN_CONNECTION,analyst01,192.168.10.84,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,analyst01 performed VPN_CONNECTION on ENGINEER-LAPTOP-02
EVT-000100,2026-09-03T14:09:49.616319,VPN_CONNECTION,engineer01,192.168.10.52,ENGINEER-LAPTOP-02,ENGINEER-LAPTOP-02,engineer01 performed VPN_CONNECTION on ENGINEER-LAPTOP-02
